Job Type,Skills Required,Year of Experience,Domain,Education Level
Administrative and Support Staff,"Cybersecurity & Information Technology,Cryptography,Ethical Hacking,Network Security,Simulation & Modeling",10,Cybersecurity & Information Technology,Undergraduate
Scientists and Engineers,"Life Sciences,Biomedical Engineering,Physiology,Biotechnology,Environmental Science",15,Life Sciences,Masters
Technical Staff,"Robotics & Autonomous Systems,Robotics Engineering,AI & Machine Learning,Control Systems,Sensors & Actuators",8,Robotics & Autonomous Systems,Undergraduate
Admin and Allied Cadre,"Energy Systems,Power Electronics,Battery Technology,Renewable Energy,Directed Energy",12,Energy Systems,Masters
Scientists and Engineers,"Aerodynamics,Material Science,CAD & Simulation",22,Aerospace & Aeronautics,Masters
Scientists and Engineers,"Aerodynamics,Material Science,Flight Mechanics,CAD & Simulation,Propulsion Systems",10,Aerospace & Aeronautics,Masters
Administrative and Support Staff,"Secure Communication,Electronic Warfare,RF Engineering,Embedded Systems,Antenna Design",5,Electronics & Communication,Undergraduate
Research Fellows,"Biomedical Engineering,Physiology,Biotechnology,Environmental Science,Nutrition Science",8,Life Sciences,Masters
Technical Staff,"Material Science,Metallurgy,Composite Materials,Nanotechnology,Failure Analysis",12,Materials & Metallurgy,Masters
Admin and Allied Cadre,"Cyber Defense,Cryptography,Ethical Hacking,Network Security,Simulation & Modeling",6,Cybersecurity & Information Technology,Undergraduate
Scientists and Engineers,"Aerospace & Aeronautics,Aerodynamics,Propulsion Systems,CAD & Simulation,Material Science",15,Aerospace & Aeronautics,Masters
Administrative and Support Staff,"Cybersecurity & Information Technology,Cyber Defense,Cryptography,Ethical Hacking,Network Security",8,Cybersecurity & Information Technology,Undergraduate
Technical Staff,"Robotics & Autonomous Systems,Robotics Engineering,AI & Machine Learning,Control Systems,Sensors & Actuators",20,Robotics & Autonomous Systems,Masters
Research Fellows,"Nuclear Technology,Nuclear Physics,Nuclear Engineering,Radiation Protection,Safety Protocols",12,Nuclear Technology,Undergraduate
Admin and Allied Cadre,"Energy Systems,Power Electronics,Battery Technology,Renewable Energy,Directed Energy",10,Energy Systems,Masters
Research Fellows,"Aerospace & Aeronautics,Aerodynamics,Propulsion Systems,CAD & Simulation,Material Science",12,Aerospace & Aeronautics,Masters
